,Unnamed: 0,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
586,190696,2021,2020-21,1610612747,Los Angeles Lakers,1627936,Alex Caruso,G,PG,12-22-2020,22000000,LAL,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.31,6.195,23,4,9,40
588,190698,2021,2020-21,1610612746,Los Angeles Clippers,201976,Patrick Beverley,G,PG,12-22-2020,22000000,LAL,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.25,6.715,24,4,9,58
589,190699,2021,2020-21,1610612747,Los Angeles Lakers,202693,Markieff Morris,F,PF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.86,7.625,26,4,10,17
590,190700,2021,2020-21,1610612746,Los Angeles Clippers,202335,Patrick Patterson,F,PF,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.46,7.875,25,4,10,26
591,190701,2021,2020-21,1610612747,Los Angeles Lakers,2544,LeBron James,G,PG,12-22-2020,22000000,LAL,LAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.19,5.995,2,4,10,48
593,190703,2021,2020-21,1610612747,Los Angeles Lakers,2544,LeBron James,G,PG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.52,7.965,26,4,10,53
595,190705,2021,2020-21,1610612746,Los Angeles Clippers,202331,Paul George,F,SF,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.42,6.655,9,4,11,3
598,190708,2021,2020-21,1610612747,Los Angeles Lakers,2544,LeBron James,G,PG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.05,5.875,1,4,11,20
599,190709,2021,2020-21,1610612746,Los Angeles Clippers,202331,Paul George,F,SF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-1.36,6.835,17,4,11,30
600,190710,2021,2020-21,1610612747,Los Angeles Lakers,1628398,Kyle Kuzma,F,SF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,1.59,7.455,23,4,11,48
602,190712,2021,2020-21,1610612746,Los Angeles Clippers,1628379,Luke Kennard,G,SG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-0.95,8.135,25,3,0,0
604,190714,2021,2020-21,1610612746,Los Angeles Clippers,202331,Paul George,F,SF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,0.6900000000000001,7.375,17,3,0,21
606,190716,2021,2020-21,1610612747,Los Angeles Lakers,202083,Wesley Matthews,G,SG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.3600000000000003,6.145,23,3,0,35
607,190717,2021,2020-21,1610612746,Los Angeles Clippers,202331,Paul George,F,SF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.99,7.625,27,3,0,56
